,CCR4,CCR5,CCR6,CCR7,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD161,CD19,CD1c,CD20,CD209,CD25,CD27,CD3,CD38,CD4,CD40,CD45RA,CD54,CD56,CD57,CD66b,CD8,CD80,CD86,CHIKV,CX3CR1,CXCR3,CXCR5,DNA,HLADR,PD1
mdc_cd1c_2,0.144047653768,0.618937744136,0.143484910226,0.177969879994,0.436681293343,0.79486419796,0.554041062425,0.042823431942,0.182440838143,0.494614312981,0.0843759755778,0.0864411224404,0.0794629288037,0.334095994693,0.0889718700345,0.170093468087,0.159197474329,0.0807697588775,0.230703621481,0.610203886617,0.460367741689,0.315849001565,0.406222744759,0.649250870098,0.254779600764,0.113840026336,0.0717859251669,0.0982255813788,0.156342761917,0.391945360121,0.171268231407,0.147959657624,0.260420596244,0.0987679515301,0.856198930959,0.774045384708,0.166468843564
mdc_other_1,0.724437497751,0.227135701903,0.362669792678,0.268485513887,0.444828591924,0.623538019103,0.26097739921,0.0391468130464,0.322147895667,0.125835307922,0.146562761864,0.0731017057462,0.0498594972211,0.08450130846,0.0728012977204,0.116090995441,0.0949022834781,0.0607384455878,0.138117637476,0.344541441465,0.247175174228,0.428585853603,0.2259508154,0.338089955723,0.240264860848,0.0774179171666,0.24098683485,0.0451022910981,0.321758268453,0.306917684508,0.0876308760991,0.146006060603,0.511520144689,0.0816022023828,0.815293237229,0.562537754214,0.0758876231472
mdc_other_2,0.176768055367,0.26205979864,0.120662666834,0.105224218661,0.42638900862,0.697366359181,0.303040091483,0.0225421622959,0.270792157544,0.176688766623,0.103907758839,0.0468364642491,0.0429457208773,0.144714344042,0.0583384452065,0.105718071873,0.076039317129,0.0525598213801,0.151032699096,0.378427227148,0.294713720494,0.279315701194,0.245447085339,0.464394184478,0.112597986852,0.0934525816201,0.0556906824817,0.0539837226485,0.080643989989,0.3782438684,0.0888861154348,0.13494127994,0.107023981156,0.0534836346245,0.86304663456,0.625296066222,0.102358432251
nk_cell_cd56hi_cd16low_NA,0.134954865294,0.142452368009,0.0532974445179,0.158478965869,0.355649751975,0.625340910164,0.0504325592757,0.159191536967,0.0946187927395,0.0360061710484,0.194208489027,0.318630388032,0.0420782521617,0.0287451799253,0.0500049984602,0.0667829190063,0.201717048532,0.203493068954,0.136872242164,0.586464984089,0.04303230903,0.127210738784,0.331554147834,0.402140390517,0.81177543629,0.102984531509,0.0432672427726,0.0516816356076,0.432872274838,0.0201651218488,0.0279335942195,0.0590541623137,0.215300589221,0.018695895905,0.811779065073,0.152098748976,0.0570966929471
nk_cell_cd56low_cd16hi_1,0.0994539151045,0.097650442066,0.0819236216526,0.133698847608,0.311966323854,0.451872741707,0.180274733737,0.126517038806,0.299897228348,0.122337968766,0.715165291319,0.443629616108,0.181366375648,0.170274083092,0.0548024474492,0.081485234398,0.386183378393,0.103612927661,0.24438645603,0.638584417325,0.141068472336,0.221094227167,0.571405194025,0.194535820793,0.638650750341,0.736358371453,0.47860489628,0.151390277232,0.191631300723,0.0478840260586,0.0404602275879,0.156636153982,0.0499539421604,0.0288712237738,0.830098008529,0.272285147262,0.0396963143196
nk_cell_cd56low_cd16hi_2,0.073598229476,0.164558710586,0.041133881261,0.118298510335,0.271534171365,0.148331886497,0.0441561583926,0.0378048352407,0.0831242155368,0.0723529040457,0.606339931431,0.444388843167,0.0730562168967,0.0601405193988,0.0408242341486,0.0877110662792,0.16725506413,0.0903384465444,0.176764153857,0.611874698713,0.0656735974135,0.165199290603,0.443336375816,0.301431661156,0.541452351154,0.156819348068,0.0587766263319,0.0879443960537,0.132829104321,0.0201209395887,0.0210245023782,0.156385351271,0.101151634236,0.0181146571173,0.821683734583,0.134710499799,0.0210743306416
nk_cell_cd56low_cd16hi_3,0.0793032280327,0.113929397454,0.0381238493614,0.105658433492,0.285978676977,0.534669891148,0.0392042719681,0.0433415700151,0.0831783829423,0.0717766279461,0.659322258337,0.175471747401,0.0785904130596,0.0616191429909,0.0399098781883,0.0445141216185,0.145053379691,0.0636031880519,0.15756746887,0.611254095383,0.0684076012569,0.173713603412,0.410998061204,0.289807486854,0.639556920597,0.158164967636,0.0565491140191,0.0973779836098,0.200749950944,0.0225893135624,0.0241058628106,0.129320677057,0.092755956956,0.019604373604,0.81665269177,0.153961238093,0.0433289073746
nk_cell_cd56low_cd16hi_4,0.471279455366,0.105717889223,0.117787269924,0.221260020862,0.361198530014,0.462637400882,0.0909949481703,0.0803074399993,0.184560624345,0.120486259937,0.703970192037,0.452541640133,0.119362779921,0.105753841161,0.0801979891968,0.106462348776,0.27156662017,0.124606003005,0.273856384403,0.673334932209,0.148260126276,0.370083729928,0.497021946887,0.225074726697,0.57247544472,0.317600022625,0.171173057261,0.142059665156,0.2388763021,0.0599836356139,0.0493681073074,0.220460845018,0.134521076102,0.0522531567224,0.861294038621,0.173221167244,0.0687989528171
nk_cell_cd56low_cd16hi_5,0.0760824900412,0.0478723181983,0.0425701383874,0.186607685995,0.364271483323,0.50882753779,0.056518212038,0.0453025367159,0.101062221609,0.103034613325,0.756197595914,0.487640744615,0.106914005448,0.0962498090661,0.0479045997196,0.0988709717514,0.245678467507,0.0505981722401,0.241043068387,0.714999006547,0.0924547213529,0.239124141689,0.473338525486,0.229582579657,0.538451658455,0.165872574495,0.0720002631197,0.142644327872,0.144463597636,0.0241178041708,0.0254080231791,0.247078887829,0.0449205804071,0.0225590597252,0.820614134122,0.0865154824816,0.0455996548293
nk_cell_cd56low_cd16low_1,0.128781725226,0.110969828296,0.0691753262079,0.10975072592,0.228606991497,0.337665273208,0.10891027509,0.0659231755124,0.210821479448,0.0533344313714,0.3772989873,0.347080383235,0.0905012662092,0.0806143056717,0.0337734735881,0.0626492550695,0.28369968581,0.0729618164923,0.196778016161,0.582923773174,0.0741307249048,0.109908493937,0.454135248235,0.111374776293,0.52724004463,0.63678325062,0.342234185408,0.0683412832599,0.119782633594,0.02980881365,0.0255402048197,0.146162218137,0.0569351883292,0.0220543942295,0.828735515807,0.217492372684,0.0284936571635
