	4G2	Axl	CCR4	CCR5	CCR6	CCR7	CD11b	CD11c	CD123	CD127	CD14	CD141	CD16	CD161	CD169	CD19	CD1c	CD20	CD209	CD24	CD25	CD27	CD3	CD38	CD4	CD40	CD45	CD45RA	CD56	CD57	CD66b	CD8	CD86	CX3CR1	CXCR3	CXCR5	DNA	E1D8	HLADR	Osmium	PD_1
mdc_6	-0.296315104848	0.764645007259	-0.430245463651	1.42062761372	-0.549048022355	-0.950602162879	-0.608215024029	1.16181175115	0.444611053839	-0.734656700418	-0.399989152819	0.344344369791	-0.69150106505	-0.646202907979	0.0103909171812	-0.540344470627	2.35716016801	-0.514180250158	-0.0106091738963	-0.523679384545	-0.487973305457	-0.740846478017	-0.820997547569	0.275975554321	0.215204991718	-0.646784598253	-0.646299800654	-1.06402777471	-0.596504457961	-0.348392542761	-0.432122004402	-0.60090367605	0.164477322955	-0.454736186103	-0.475092420513	-0.565706632862	0.905711672405	-0.0721029221537	1.1568895379	1.02622970533	-0.529281694225
mdc_7	-0.551530464324	-0.374563688454	-0.577043445595	1.20836877127	-0.5717465222	-0.456449399975	-0.676396309669	0.57321232303	-0.598081852914	0.0841560008602	-0.646847778863	-0.440043221881	-0.740231230457	0.145195033751	-0.783160301695	-0.650733608225	-0.505168516136	-0.422787898166	-0.121728096961	-0.536415675182	-0.398819901218	-0.682206766168	1.46611279878	-0.653682605999	1.67492726132	-0.638850033076	-0.330651002744	-1.03056470108	-0.330296650978	3.24567775173	-0.39835398223	-0.1795155956	-0.457773873517	1.09923414653	-0.0933691731166	-0.559960765726	-0.514278483063	-0.678907298779	0.368792182891	-0.224077934362	3.27880427596
mdc_8	-0.881190834888	-0.405507397678	-0.377062397378	-0.667679358056	-0.554366030779	-0.863609255717	0.219093434859	0.0181067960575	-0.56551012799	-0.476100473857	-0.497045930515	-0.796599932382	-0.674447515984	-0.443931804407	-0.762680079712	-0.617420914157	-0.553713051552	-0.184826070674	-0.87859323463	-0.466202606107	-0.770856801144	-0.224127374766	-0.320115607063	-1.17519056167	-0.809871305948	-0.674090043879	-0.301686315714	-1.29951663984	-0.831338044555	0.00063743294264	-0.0560757417288	-0.490593212587	-0.682940010052	-0.898135571844	-0.52984157338	-0.512570848658	-0.517250877398	-0.625897998424	-0.323062923866	0.587438559037	-0.441271606705
mdc_9	-0.292915820297	0.0829992409337	2.00362723556	0.771627743282	-0.37185742371	0.222081093612	-0.843360917428	-0.754980586007	-0.537050599654	-0.0856207288677	-0.614822437173	-0.33655721863	-0.704358673383	-0.131833081267	-0.79894887944	-0.619539433388	-0.470616627103	-0.468059872665	0.0717820777531	-0.517952294227	1.71454463767	0.525309349201	1.41935713485	-0.0793219770913	1.88756570001	-0.750036549861	0.370862119057	-1.24879327648	-0.181031315358	-0.168393501785	-0.435175924161	-0.173775876098	0.065724548977	-0.371389207464	0.538737583875	-0.510815223737	0.0286526993819	-0.106545152649	0.999404533295	0.0191395416505	3.34845769065
monocyte_1	1.07857100124	0.467993464583	-0.0838584589332	2.03251075502	-0.609341686342	-0.752365799196	1.09188231741	1.5355242837	0.86806825908	-0.677963171496	2.06067459955	1.03938145298	-0.503749001459	-0.528448599211	2.57222661984	-0.383566385108	0.401152907594	-0.41794051008	1.7389828518	-0.387449615218	-0.448712906514	-0.648189916728	-0.440492825928	0.93364595967	0.777916075168	-0.228957341971	0.922667816856	-0.361076674871	-0.225699138188	-0.313648772786	-0.342804165299	-0.219916656413	1.76347757754	2.34227251985	-0.654004250754	-0.297106780221	1.6974097215	-0.10167197782	1.09757878011	1.65763656501	-0.495479511902
monocyte_10	-0.318851934478	-0.435723207555	-0.503663880967	-0.620351134911	-0.728827267433	-1.1076782927	2.00912738917	1.69630183529	-0.0300655621545	-0.723512313136	1.67293509579	0.611877052474	-0.671705889949	-0.7593468124	0.604592887071	-0.53901054903	-0.447949007062	-0.501742336693	-0.967050731563	-0.51799174801	-0.853476341653	-0.820273335564	-0.991349372544	-0.256107562454	0.615311131576	-0.493838065269	0.0885941976424	-0.84373833872	-0.774269958877	-0.258943259086	-0.313437297748	-0.574059242906	1.53354818519	-0.680529997628	-0.933126552278	-0.554206893924	1.60425282227	0.109299521601	0.229341600097	1.26404495233	-0.485126165087
monocyte_11	1.25676497023	1.39049521882	0.271597028552	0.848597093006	-0.558140933769	-0.794643258059	1.84864669587	2.14085768001	0.921208140117	-0.618389791799	2.28083642301	1.88290229327	0.328314303008	-0.524113039016	2.99686224196	-0.383429022309	0.126017900306	-0.351765319704	1.12834946971	-0.362885781821	-0.488365822708	-0.636217089341	-0.571597868167	0.648849326525	1.06286418108	1.30787027579	1.77205183354	-0.392632152678	-0.0524448185942	-0.0725571948299	-0.215304256673	-0.196679083735	2.46364465218	1.89037182177	-0.398295609958	-0.0158026175345	1.6224256267	0.2785199652	1.52716394531	1.60905999859	-0.402290361596
monocyte_12	0.577004776286	-0.185427623553	-0.153250554088	-0.539512146027	-0.640249231332	-0.894586749551	1.83787970563	1.54815378907	-0.115033387165	-0.701564100981	2.29968838306	0.248454353912	-0.700580247396	-0.646693181332	-0.00652190324295	-0.545993165998	-0.447826177213	-0.482966794185	-0.543266291628	-0.468958056087	-0.672958200353	-0.775980385543	-0.738384748153	0.593103020097	0.519434514967	-0.108554783665	1.74614191354	-0.980230356867	-0.675758315079	-0.302325370259	-0.238726876277	-0.615174000068	1.69039191438	-0.11697645298	-0.824760058064	-0.499296796785	0.330421864077	0.0915193370797	0.708807120726	0.722093799731	-0.511131585588
monocyte_13	1.98592504734	0.892045566269	0.272518499727	1.09352994168	-0.407062254869	-0.64363738058	2.20650400339	1.83941802581	0.545237873555	-0.612449153521	2.63498580557	1.42419851298	-0.170276240787	-0.46524355426	3.81399150757	-0.35522695076	-0.129332742948	-0.297425541349	0.978182414424	4.020765399	-0.175881097053	-0.571618590657	-0.493945859386	0.92225480478	0.950817246897	0.656166560341	1.50351417891	-0.393571767209	0.0173186834901	-0.160975745155	-0.173368396577	-0.0813185140394	2.26371665016	1.46081288902	-0.406747675547	0.00876527048996	1.43513350195	0.485349424168	1.10460034805	1.5241133374	-0.379959532598
monocyte_14	1.30856274672	0.430091478492	0.202436097166	0.384873671388	-0.463943378273	-0.751695105763	2.15846505057	1.73393083559	0.0812081800285	-0.617352479279	2.55532758656	0.962303734062	-0.407422291868	-0.543315475105	0.314255634105	-0.395790932059	-0.193218528731	-0.33013704795	0.416270975687	3.92616868211	-0.428968870635	-0.633271611244	-0.549991947037	0.66002306278	0.911285984703	0.0604650286486	1.74147276219	-0.546161833288	-0.325887718182	-0.200861818902	-0.241047570759	-0.182169319827	2.09761887573	1.43609454358	-0.540448694044	-0.43177701584	1.46539302168	0.184059188761	0.93760181571	1.53411824405	-0.461899851247
monocyte_15	0.302073005084	0.512233868191	-0.0717598728378	-0.350637293813	-0.644510098279	-1.00437471174	0.735556390739	2.1424014583	1.08932994278	-0.591729778752	0.990923862329	1.6487111517	2.46432760776	-0.664094826087	0.569173116579	-0.264871516944	-0.049765724097	-0.422549699464	-0.203644510219	-0.4354656284	-0.772206481506	-0.710124824496	-0.798563327639	-0.544727222011	0.735438498102	1.01084297739	1.47160139357	0.0246001202691	-0.428541420115	-0.0946114598088	-0.247395256038	-0.293422310722	2.37090394423	2.76022804432	-0.623748644568	-0.364552066689	1.34348429527	0.265192492608	1.23570321098	1.45433280352	-0.411551716282
monocyte_16	7.34879588762	0.302922433186	0.258361789032	0.496963253629	-0.357610005062	-0.530066899176	2.06016603814	1.73044691944	0.214669115279	-0.189436002682	2.38078760183	1.54198469679	0.871354252257	-0.27689313239	1.91313474027	0.566872328674	0.462339465487	0.287304154003	0.499806060543	0.0364354784445	-0.430362634247	-0.104019929687	-0.19003577369	0.703986653988	1.10976126116	0.318500152256	1.59740714742	1.02340857889	0.0848916600505	-0.0507243610825	-0.099992036653	1.06565107488	1.98816174159	0.981713802299	-0.344469054469	-0.114895689851	1.20252036076	10.7562540066	0.936852259937	0.951294207514	-0.238272734278
monocyte_17	0.525443657139	0.334105942585	2.85491754449	1.44686094303	1.47955466175	0.0697699497253	1.40886034323	0.880459066144	-0.0453665290913	-0.62770854909	1.9883831608	0.225971116638	-0.557976556685	-0.586816978735	1.60698183582	-0.461515765163	-0.428659692116	-0.371645800238	1.54251521999	-0.0197061007046	-0.503443227259	-0.708536877043	-0.741937184214	0.289381353871	0.377663659531	0.404504823828	0.783100486175	-0.87024033864	0.128813877528	-0.377904076544	0.0983400943179	-0.53502429272	1.26140336737	1.09253001706	1.19188920206	0.589301834805	0.627979638316	0.13301773518	0.642030463588	0.335909654163	-0.270117785701
monocyte_2	0.602826514573	4.92136702225	0.0298576789295	0.217255670061	1.18486624955	-0.900842178228	1.9935426188	1.42401191175	1.2151367208	-0.688675037967	2.40129914851	0.411538881169	-0.633295933325	-0.602216235393	1.24341931689	-0.313000044945	-0.479337563795	-0.443198189769	-0.284068664143	-0.444019873256	-0.581287305249	-0.724674513731	-0.637494784052	0.664173197912	0.716529193122	-0.0967800749208	1.55305653301	-0.862223711454	-0.589263074809	-0.297369460809	-0.192860755545	-0.368638135323	1.89849608152	0.562261626209	-0.793442115074	-0.451421510039	0.549805745446	-0.160501530315	0.675689736847	1.06901478207	4.67909976761
monocyte_3	1.21630905517	0.12942503067	0.282639718231	0.601315910839	-0.422753874093	-0.74475691149	2.12291192071	1.65654573199	0.214889698802	-0.650548877905	2.58640356244	0.912583125426	-0.404497021588	-0.396930094576	1.74436633408	-0.433948685718	-0.287659196111	-0.315622684872	2.75913436707	-0.294089090185	-0.440614464131	-0.641699938815	-0.484729225959	0.80590155388	0.866654304162	0.11032898293	1.76755400525	-0.623591160066	-0.239195013947	-0.227679311741	-0.251939819888	-0.189872078034	1.99264660408	1.4910669581	4.09105902573	-0.279499729931	1.30628420558	0.134836637158	0.915719887296	1.48717226867	-0.470281048275
monocyte_4	0.995977308273	-0.252704922431	-0.0971841831237	0.216856024117	-0.593676192365	-0.770291783306	2.17885953181	1.46656306004	-0.176458638374	-0.666994696374	2.47189793668	0.183615504591	-0.559663271626	-0.577466439338	0.50966331037	-0.45460097856	-0.435659153857	-0.356890900074	-0.192213081672	-0.359410819562	-0.572546692421	-0.652560024762	-0.521361790688	0.713801612858	0.658170528015	-0.181894182837	1.34890467855	-0.991936283769	-0.507515968551	-0.300538444082	0.122422895613	-0.30676473135	1.81358493159	0.659071188615	-0.766253971336	-0.454048718182	1.27380740749	-0.274359672198	0.6103798413	1.40499470664	-0.525187078075
monocyte_5	1.04998231614	-0.0522075356849	-0.0508066055873	-0.29379541675	-0.600588275543	-0.45726915412	1.85274231528	1.69215018183	0.0109851794941	-0.674215006374	2.49045417027	0.726004999133	-0.630074250258	-0.612217295005	1.73886652298	-0.504739423057	-0.342470532917	-0.476332915154	-0.405618377504	-0.421071419814	6.42388581009	-0.788776600247	-0.574678383294	0.660839252236	0.703840814085	-0.203985923614	1.99583047932	-0.719082719408	-0.492921081787	-0.269233337637	-0.267369666311	-0.466614183296	1.89082925008	0.527334802402	-0.845525171153	-0.403408169981	0.37296829112	0.545400728853	0.826902378503	0.880633932005	-0.455464167931
monocyte_6	0.303157652432	-0.255352616536	-0.366742550982	-0.206881565296	-0.660012534307	-0.951751065988	1.46379117362	0.803875980157	-0.18875216662	-0.730513824936	1.82339335053	-0.14345736837	-0.659458217028	-0.672870880435	1.15208119687	-0.519285111946	-0.501348990678	-0.485777362556	-0.46371771024	-0.459740194004	-0.733637693325	-0.736736955264	-0.844628759691	0.273394386772	0.178686669004	-0.379817188918	0.490895163081	-1.16081689479	-0.733347784755	-0.438424193638	-0.321813931783	-0.571522809275	0.953710171837	-0.0930610016144	-0.811445372076	-0.426364205102	0.809123623338	-0.188788202652	0.480680342675	1.01153990807	-0.592790987348
monocyte_7	1.34355120749	0.00300763007264	0.223795863826	0.821041320318	-0.543106901194	-0.655789031674	2.15826304381	1.70551926048	0.207399378511	-0.644461941038	2.62522485957	0.928926019587	-0.475791922514	-0.502232556188	0.405737979058	-0.427697329369	-0.220127643776	-0.308572284944	0.509405891136	-0.297728777231	-0.467330668319	-0.587707877793	-0.448450941068	0.832956713034	0.93899498788	0.167751553685	1.67808874038	-0.401996101878	-0.072616424696	-0.197572737916	-0.202688815721	-0.175464317439	2.12609075827	2.14762652803	-0.651141367697	-0.368893656055	1.78684133761	-0.217697594533	0.973840874873	1.72374564916	-0.508822297262
monocyte_8	1.71808067883	0.252761250613	0.203655146192	1.41928338691	-0.545585978826	-0.600535264579	2.18081984612	1.7192071704	0.460142356042	-0.623865731364	2.65813051974	1.02265448762	-0.433245398899	-0.466711552247	3.23376935318	-0.370510772407	-0.211258164644	-0.297937537271	0.937679653083	-0.254279001511	-0.390762935902	-0.564555496129	-0.373416017635	0.993152558128	0.92206397524	0.304282356504	1.49393786078	-0.319058328583	-0.0548869713459	-0.206652381391	-0.225509869844	-0.0856161139457	2.2056227309	1.81641773873	-0.627539697567	-0.0959810457927	1.85555093465	-0.103915341057	0.982540493789	1.76854935759	-0.474890615885
monocyte_9	0.965795131815	-0.079123899981	-0.013559369293	-0.24684645778	-0.610005482475	-0.822270321046	1.99464036449	1.62065594482	0.0705296665028	-0.695456383185	2.44134444231	0.525961506706	-0.65179174223	-0.590748059597	2.78279445332	-0.531647683796	-0.420637984801	-0.467445936484	-0.186608865383	-0.408480252839	-0.597773329778	-0.728391565364	-0.669443079284	0.726021416243	0.687235531731	-0.045794984062	1.58599487541	-0.879572017327	-0.47095770134	-0.274828494963	-0.29808634204	-0.522883288909	1.91942717121	0.498610943999	-0.789246624383	-0.296011938142	0.907689554551	0.0845236967496	0.750410877932	1.12345228083	-0.523084733568
nk_cell_1	-0.42792668868	-0.511238943198	-0.648182494667	1.22884849135	-0.662406915738	-0.780549379532	-0.422093487839	-0.642253341721	-0.54376835648	-0.6166450736	-0.477700303033	-0.617818325764	1.63669326998	2.3809930995	-0.273767890832	-0.474885647287	-0.453163183191	-0.484618042386	1.3005930987	-0.485430273969	-0.327120484586	-0.219997657864	-0.719673724104	0.849912458256	-0.8587770562	-0.562969262043	0.372543398913	0.0236091639122	3.1055247113	-0.491556690154	-0.396370285708	-0.220273712069	-0.495829530748	0.539772367656	0.45681522514	-0.515565506164	-0.221343305615	-0.385336608995	-0.428709885289	-0.0697194715468	-0.603779190328
nk_cell_10	-0.506797964521	-0.56040721491	-0.688382150939	0.0590361722317	-0.659850774644	-0.579149049461	0.0978222489345	0.989573966781	-0.545826254365	0.396614704884	-0.481604624172	-0.717264082029	-0.0173819360507	1.19759480937	0.685161165981	-0.512175850452	-0.510016334894	-0.451921044478	0.0612433137252	-0.488858875894	-0.0978954252972	0.157544463827	-0.84010940742	0.686147251249	-0.908928097255	-0.608622558144	-0.187902993816	-0.233028085093	5.15002013166	-0.399200802853	-0.42110470443	-0.109787150189	-0.767202886831	-0.818834725242	0.384690190112	-0.285084900699	-0.421438211421	-0.347976831455	-0.823893645117	-0.148099584813	-0.608225596773
nk_cell_11	-0.654912048132	-0.55233104945	-0.700129477925	-0.566868615664	-0.721308070357	-0.807655735214	-0.262227073924	-0.125124289237	-0.581660644422	-0.689557495077	-0.539259556955	-0.598706760999	2.45999349427	1.72545874124	-0.518078432197	-0.481769734242	-0.434089257724	-0.526511335693	0.256503218472	-0.480702488229	-0.358570544561	-0.679491490514	-0.756532458982	0.961888978688	-0.905818482758	-0.505208925169	-0.0135067258406	0.221161791156	2.23208228524	-0.389788244377	-0.432105391959	-0.384864516891	-0.770793604561	1.48281177512	-0.590643778773	-0.57563977372	-0.489866473636	-0.34953076524	-0.905566447001	-0.270705271012	-0.60034368277
nk_cell_12	-0.859899970571	-0.638089426071	-0.775550777283	-0.650782441483	-0.708663290828	-0.352957990998	-0.783002139969	-0.810427520909	-0.630327264339	1.01485406711	-0.652727320023	-0.531735338317	-0.507174779117	-0.435776154441	0.407692647852	-0.521665056554	-0.463918580356	-0.535722282558	-1.01118769301	-0.508831118426	-0.84684444553	1.08421060295	-0.151154464243	-1.44103732773	-0.856556609642	-0.854570647616	-1.33301255645	0.250810442355	-0.795217818339	-0.397783797918	-0.450745270466	2.53609467346	-0.745078021921	-1.07605800829	-0.199942344156	-0.640891162977	-0.452478112047	0.347516812184	-1.26053167058	-1.13947341479	0.314764505533
nk_cell_13	-0.685662670395	-0.469955319662	0.0917575195021	0.272691504463	0.130325344788	-0.253215535444	-0.650790527664	-0.700925324791	-0.595445761434	0.708764962033	-0.507608662205	-0.651631829167	-0.322006133137	0.587014600897	-0.442460917758	-0.462657192722	-0.447520688149	-0.393128858483	0.146193383186	-0.385470019388	-0.491529320798	0.558326249179	-0.476232681935	-0.974850649242	-0.636814048942	-0.589553394277	-0.927512941838	-0.421137633511	0.134549502439	-0.306048383291	-0.337819491476	0.217732715228	-0.634707385224	-0.478299385137	0.247280967281	-0.316432923332	-0.415538454394	-0.357039042508	-1.01690542709	-0.651017998598	-0.0564751945848
nk_cell_14	-0.873993692665	-0.632790213508	-0.790587805019	-0.576334023553	-0.736402399835	-1.05148004887	-0.720743077207	1.04567628376	-0.629786994869	-0.657259148763	-0.636496606542	-0.441130617326	-0.0557452051682	-0.639661233417	0.501073072044	-0.507017372235	-0.513215526143	-0.531861623304	-1.18390089284	-0.474223930619	-0.861810375221	-0.706669455716	0.108866134009	-1.25642806996	-0.826532203795	-0.776138889059	-1.013327229	0.545269189481	-0.0934766849661	3.3954660805	-0.380757338506	2.60878833812	-0.741040504234	-0.372925064079	-0.767253707214	-0.617079438531	-0.489294828187	-0.0892539263524	-1.23849225469	-0.721739579178	0.412991564392
nk_cell_15	-0.656096054097	-0.551368260154	-0.693738786697	-0.724016000608	-0.637960336514	-0.807732463141	-0.19816768904	0.82168965259	-0.550095790757	-0.647360739814	-0.46397854385	-0.329916846061	2.9301529085	1.37356193029	0.00462005912035	-0.380345285344	-0.29367631859	-0.49248069952	0.040491827782	-0.413252074305	-0.373015978303	-0.705392000228	-0.699807422748	0.998968359201	-0.830052036315	-0.254163389307	0.0600632344136	0.98980842804	3.15617019015	2.81696813955	-0.332643334522	1.55581961518	-0.730491373394	1.61251734509	-0.744581514598	-0.524362356055	-0.217841075085	-0.31223045951	-0.960779028772	-0.0790500636616	-0.558315672225
nk_cell_16	-0.929816731854	-0.631439725597	-0.810765957016	-0.954023566153	-0.742896785927	-1.12573419917	-0.553405914152	0.846303244206	-0.621269713532	-0.760723988379	-0.650735973985	-0.662507794145	1.98011279304	-0.284514517326	-0.81110080609	-0.546600237056	-0.525008509076	-0.575647372246	-1.11492940915	-0.488439470805	-0.861676426466	-0.857987563275	-1.04541902241	-0.276229754029	-0.981003398428	-0.622220201982	-1.36143958086	0.435490609156	0.576307733175	2.93376055084	-0.425042685141	-0.52531239273	-0.764654282881	-0.569230779733	-0.972042762955	-0.645877204533	-0.341873544271	-0.223041807749	-1.22242870173	-0.563452056402	-0.609504812476
nk_cell_17	-0.9078906281	-0.641909064742	-0.278115421552	-0.685102095678	-0.656158950705	-0.337069559029	-0.859918869895	-0.879034373688	-0.642781879024	1.1509892777	-0.67379077329	-0.62127383702	-0.717468471619	-0.430469410328	-0.883080185889	-0.592923213722	-0.542069365872	-0.569162545259	-1.0929984983	-0.543675934322	-0.641298478407	0.700981025442	-0.166253689394	-1.39348176555	1.23063708956	-0.856178592246	-1.60358970157	-0.600680786005	-0.448406771174	-0.462540133961	-0.492667051982	-0.596374363181	-0.771899955275	-1.09279857861	-0.720743045735	-0.567871014596	-0.504938411675	0.246934169836	-1.27232615015	-1.25282130665	0.875671157027
nk_cell_18	-0.087454182908	-0.405283830901	-0.470171107923	-0.785876955478	-0.567050973861	-1.02710841152	-0.688951949268	1.42824717841	0.330076744955	-0.595079066687	-0.467367440361	0.810710232829	3.48997209166	-0.671236409978	-0.36714388314	-0.227876810665	-0.164567815636	-0.48508912926	-0.938918431696	-0.431247797003	-0.856167036146	-0.724056512955	-1.04634288893	-1.52146486395	0.102720786875	0.288153719012	-0.0706447196035	0.685723097537	-0.291219950033	-0.2394603324	-0.324073388658	-0.381263050154	1.41996936718	1.74823795385	-0.761672208346	-0.490319737133	0.557630551335	0.271315601599	0.150226899369	0.86050224381	-0.465009292772
