	CD38	CD56	CD57	CCR7	CD4	CD209	CCR4	CCR5	CCR6	CD3	CD8	CD1c	CX3CR1	CD86	CXCR3	CXCR5	DNA	CD20	CD27	CD40	CD25	HLADR	CD141	CD127	CD45RA	CD123	CD161	CD16	CD66b	CD14	CD11c	CD11b	CD19
('cd4_t_cell_cm_1', 'virus: chik', 'original: cd4_t_cell_cm', 'predict: cd4_t_cell_cm', 'correlation: 1.0')	-1.92128735706	-0.639212240307	-0.582479339881	0.116732005268	1.83853916282	-0.90225577617	1.42241453945	-0.402614307451	-0.0403194609945	1.10563555781	0.167343966093	-0.709706639111	-1.18295741154	-0.783610571745	0.0234653368732	-0.572501047041	-0.618304307653	-0.546129911888	0.951936071866	-0.820046219516	0.339406271928	-1.17220532243	-0.530467538867	1.76850788905	-1.65374896768	-0.810619738194	-0.170154379344	-0.915773235455	-0.883920918275	-0.80183540952	-1.18924279425	-1.37110835837	-0.64813190143
('cd4_t_cell_cm_2', 'virus: chik', 'original: cd4_t_cell_cm', 'predict: cd4_t_cell_cm', 'correlation: 1.0')	-1.22036748503	-0.718132821886	-0.602834826001	1.09309992976	1.82348528622	-0.938664217946	0.376456608528	-1.14004448578	-0.320395899556	1.17535572483	0.112157580425	-0.753150153931	-1.17206100755	-0.799560873576	-0.216986107232	1.29402654604	-0.700016188546	-0.554597259226	1.4974917674	-1.01881110112	-0.80448261059	-1.29986797304	-0.559102626067	1.31836571072	-1.62108908801	-0.807441582973	0.0679876385381	-0.932790324355	-0.936187808303	-0.823836183748	-1.20104523652	-1.4534556423	-0.651524150771
('cd4_t_cell_cm_3', 'virus: chik', 'original: cd4_t_cell_cm', 'predict: cd4_t_cell_cm', 'correlation: 1.0')	-0.357551849225	-0.600812611463	-0.492825607344	0.738813229422	1.83110523526	-0.916181863472	0.813139260091	-0.115538506783	-0.528748478394	1.21169934031	0.279701775374	-0.739337348372	-0.825276404017	-0.643296130945	0.388112615188	-0.360955331899	-0.709949304099	-0.535642007143	1.43835784887	-0.832145440306	0.965605949507	-0.851434138617	-0.505654377807	0.0375723985162	-1.39209560507	-0.802600712287	-0.574172428366	-0.896169765471	-0.865012213009	-0.758819002809	-1.17848014513	-1.31464083206	-0.636063802288
('cd4_t_cell_em_NA', 'virus: chik', 'original: cd4_t_cell_em', 'predict: cd4_t_cell_em', 'correlation: 1.0')	-2.19370046151	-0.610892232975	-0.273658813807	-0.83369868162	1.83673468497	-1.22191681953	1.42624966543	-0.1923058772	-0.34976731456	0.981329024455	0.142706428586	-0.688575879646	-1.02359351181	-0.788282946438	-0.745136728781	-0.687464816562	-0.283826516293	-0.54465669845	-0.84742142296	-0.760736801833	0.765392461324	-1.0876488678	-0.528389063664	1.84462624156	-1.63886671281	-0.744543852967	-0.352820193497	-0.901448894868	-0.759638542026	-0.756373389181	-1.17423156843	-1.22549523027	-0.64828185683
('cd4_t_cell_naive_1', 'virus: chik', 'original: cd4_t_cell_naive', 'predict: cd4_t_cell_naive', 'correlation: 1.0')	-0.262857840302	-0.730997198341	-0.701986167056	2.1952353944	1.7381748622	-1.50492736715	-0.869449655616	-1.28440690998	-0.912222369535	1.32971409049	-0.0151414714223	-0.725270179896	-1.02855857599	-0.822248451083	-1.23656776236	-0.677127806945	-0.840548187374	-0.605936785023	1.62649340595	-1.09553177202	-0.769131773029	-1.40697203651	-0.481190246962	1.43985854375	-0.360473422054	-0.820589769634	-0.917836252197	-0.92069289123	-0.900390209236	-0.779578609582	-1.18483557605	-1.48170163499	-0.628496231525
('cd4_t_cell_treg_1', 'virus: chik', 'original: cd4_t_cell_treg', 'predict: cd4_t_cell_treg', 'correlation: 1.0')	-0.81377069342	-0.717298714655	-0.630837600069	1.01090683457	1.70720826389	-1.30798338637	0.06420223872	-0.720063714555	-0.707817756646	1.18393118321	0.00074425876496	-0.801768402676	-1.07169775703	-0.757101344379	-0.481269389304	-0.402984092269	-0.867278938907	-0.592292081653	1.50378049217	-0.979940288231	1.70599646326	-1.1506093982	-0.573526014381	-0.136299909238	-1.09090412128	-0.820321564252	-0.791087097127	-0.945700589485	-0.919205094065	-0.793101470328	-1.19963659577	-1.41597416892	-0.654852725853
('cd8_t_cell_cm_1', 'virus: chik', 'original: cd8_t_cell_cm', 'predict: cd8_t_cell_cm', 'correlation: 1.0')	-0.7958652851	-0.883282774219	0.419889625714	-0.690146465709	-0.85736004442	-0.954169614854	-0.83012526727	0.117714423878	-0.865486184293	1.03519439909	2.70644786122	-0.696390006059	-0.563061079749	-0.660262965109	0.704391928023	-0.64594414245	-0.597848562754	-0.508323357818	0.663818487478	-1.08302295818	-0.73229501475	-0.647687668652	-0.800510856227	0.0214391129151	-0.671173959328	-0.744648807166	-0.613733087494	-0.711379227525	-0.320240946662	-0.57077928778	-0.893636209288	-0.956791059896	-0.621185046115
('cd8_t_cell_naive_1', 'virus: chik', 'original: cd8_t_cell_naive', 'predict: cd8_t_cell_naive', 'correlation: 1.0')	-0.920085106156	-1.11560277099	-0.658035027907	2.09773936702	-0.933345387434	-1.42075535865	-1.10004941183	-1.27362585353	-0.924050765144	1.09796309086	2.76403442433	-0.749678525537	-1.29054642542	-0.820168977009	0.105545123	-0.696956182477	-0.547602867269	-0.618671868227	1.67717083133	-1.1404577555	-1.08329404152	-1.38260592986	-0.713184380514	1.57464876538	0.262517673738	-0.818793862919	-0.941890002232	-0.931252023428	-0.874136634072	-0.753421512664	-1.13897223653	-1.47151042349	-0.643205144721
('cd8_t_cell_naive_2', 'virus: chik', 'original: cd8_t_cell_naive', 'predict: cd8_t_cell_naive', 'correlation: 1.0')	-1.25785935373	-0.796096636994	-0.580430547897	0.953397743619	-0.930610088217	-0.582721365907	1.67622260653	-0.254637248008	-0.115556646563	0.976304540977	1.35259764068	-0.794468921559	-0.99081163651	-0.737988568466	1.02891283513	-0.609610588187	-1.01350546403	-0.577412917214	0.963107615928	-0.41192501148	-1.00790880507	-1.17280477157	-0.76791063983	0.951233428766	-0.600199025328	-0.795600666261	-0.332218628988	-0.916220406686	-0.567520536139	-0.667364204001	-1.07179548329	-1.25939046158	-0.682303699191
('ilc_1', 'virus: chik', 'original: ilc', 'predict: ilc', 'correlation: 1.0')	-2.1249270334	-1.17808739319	-0.861765636384	-1.21868021021	-0.970476312779	-0.0871737208447	0.169841264643	-1.14022319331	-0.51444043559	-1.25872911237	-1.12835972022	-0.906304653345	-1.70485538095	-0.836961081119	-0.838475920138	-0.712306363557	-1.60583601861	-0.671567494774	-0.996585956178	-1.06594143878	3.27146258963	-1.16805469262	-0.842739815168	0.846284467558	-0.68051235306	-0.722745181428	1.21733051474	-1.11368353809	-0.993795753027	-0.958868802888	0.286293795715	0.0327158533337	-0.741235264659
